supplier,city,eco,gas,num_votes,score,score_rounded,log_num_votes,services
Octopus Energy Germany,München,1,1,8042,4.8,5.0,8.992433087457218,none
Ostrom,Berlin,1,0,1598,4.8,5.0,7.37650812632622,none
Rabot Charge,Hamburg,1,0,174,4.3,4.0,5.159055299214529,none
MONTANA Group,Grünwald,1,1,3146,4.0,4.0,8.053887083618223,none
E.ON Energie Deutschland GmbH,München,1,1,13223,3.7,4.0,9.489713016556822,energy_systems
Grünwelt Energie,Kaarst,0,0,1964,3.6,4.0,7.582738488914411,none
RheinEnergie,Köln,1,1,528,3.4,3.0,6.269096283706261,none
badenova,Freiburg im Breisgau,1,1,241,2.7,3.0,5.484796933490655,none
pricewise.de,Heidelberg,0,1,119,4.8,5.0,4.77912349311153,none
DFM-Select GmbH,Metzingen,0,0,22,4.6,5.0,3.0910424533583156,energy_systems
Vattenfall Europe Sales GmbH,Berlin,0,1,10204,4.4,4.0,9.230535079261701,none
Erdgas Südwest GmbH,Ettlingen,1,1,46,4.4,4.0,3.828641396489095,energy_systems
Zenstrom,Berlin,1,0,89,4.0,4.0,4.48863636973214,none
VeganStrom,Berlin,1,0,30,4.0,4.0,3.4011973816621555,none
Fair Trade Power Deutschland GmbH,München,1,0,3,4.0,4.0,1.0986122886681096,none
Lekker Energie GmbH,Berlin,1,1,223,3.9,4.0,5.407171771460119,none
Paketsparer,Berlin,0,1,49,3.7,4.0,3.8918202981106265,telco
NEW Energie,Mönchengladbach,0,0,615,3.6,4.0,6.421622267806518,none
SWK ENERGIE GmbH,Krefeld,1,1,137,3.5,4.0,4.919980925828125,none
nowenergy,Berlin,0,1,81,3.4,3.0,4.394449154672438,telco
1KOMMA5°,Hamburg,0,0,16,3.3,3.0,2.772588722239781,energy_systems
CHONO MEDIA,Dresden,0,0,39,3.2,3.0,3.6635616461296463,telco
Fresh Energy,Berlin,0,0,68,3.1,3.0,4.219507705176107,none
Polarstern Energie,München,1,1,32,3.1,3.0,3.4657359027997265,none
Primastrom,Berlin,0,1,125,2.8,3.0,4.828313737302301,telco
eprimo GmbH,Neu-Isenburg,0,1,8786,2.6,3.0,9.080914824535725,none
voxenergie,Berlin,0,1,130,2.4,2.0,4.867534450455582,telco
Lition Energie,Berlin,0,0,125,1.9,2.0,4.828313737302301,none
Oekostrom,Düsseldorf,0,1,44,1.7,2.0,3.784189633918261,none
MEP Werke,Eckernförde,0,0,961,1.5,2.0,6.8679744089702925,none
LichtBlick,Hamburg,1,0,1708,1.3,1.0,7.443078374348515,none
RWE,Essen,0,0,90,1.3,1.0,4.499809670330265,none
EWE,Oldenburg,0,0,2228,1.2,1.0,7.708859601047174,none
